Summit Ridge Construction Pty Ltd,,,,,,,
Transaction Detail by Account,,,,,,,
"February 01, 2025 - July 31, 2026",,,,,,,

Transaction date,Transaction type,Num,Name,Customer/Project,Description,Amount,Balance
Demolition,,,,,,,
03/06/2025,Bill,B-10014,DemoSafe Services,Westhaven Warehouse Extension,Demolition works — Westhaven Warehouse Extension — Mar 2025,"$7,459.20","$7,459.20"
04/12/2025,Bill,B-10035,DemoSafe Services,Meridian Medical Centre Fitout,Demolition works — Meridian Medical Centre Fitout — Apr 2025,"$5,864.73","$13,323.93"
04/24/2025,Bill,B-10027,DemoSafe Services,Westhaven Warehouse Extension,Demolition works — Westhaven Warehouse Extension — Apr 2025,"$9,590.40","$22,914.33"
05/07/2025,Bill,B-10048,DemoSafe Services,Westhaven Warehouse Extension,Demolition works — Westhaven Warehouse Extension — May 2025,"$7,992.00","$30,906.33"
05/23/2025,Bill,B-10056,DemoSafe Services,Meridian Medical Centre Fitout,Demolition works — Meridian Medical Centre Fitout — May 2025,"$6,903.27","$37,809.60"
06/08/2025,Bill,B-10071,DemoSafe Services,Westhaven Warehouse Extension,Demolition works — Westhaven Warehouse Extension — Jun 2025,"$8,080.80","$45,890.40"
06/13/2025,Bill,B-10088,DemoSafe Services,Ashgrove Apartment Refurbishment,Demolition works — Ashgrove Apartment Refurbishment — Jun 2025,"$7,971.69","$53,862.09"
06/25/2025,Bill,B-10081,DemoSafe Services,Meridian Medical Centre Fitout,Demolition works — Meridian Medical Centre Fitout — Jun 2025,"$7,208.73","$61,070.82"
07/20/2025,Bill,B-10105,DemoSafe Services,Meridian Medical Centre Fitout,Demolition works — Meridian Medical Centre Fitout — Jul 2025,"$5,742.55","$66,813.37"
07/30/2025,Bill,B-10100,DemoSafe Services,Westhaven Warehouse Extension,Demolition works — Westhaven Warehouse Extension — Jul 2025,"$10,744.80","$77,558.17"
08/08/2025,Bill,B-10129,DemoSafe Services,Westhaven Warehouse Extension,Demolition works — Westhaven Warehouse Extension — Aug 2025,"$7,725.60","$85,283.77"
08/23/2025,Bill,B-10142,DemoSafe Services,Ashgrove Apartment Refurbishment,Demolition works — Ashgrove Apartment Refurbishment — Aug 2025,"$4,644.92","$89,928.69"
08/24/2025,Bill,B-10151,DemoSafe Services,Murrin Bridge Repair,Demolition works — Murrin Bridge Repair — Aug 2025,"$9,614.77","$99,543.46"
08/25/2025,Bill,B-10137,DemoSafe Services,Meridian Medical Centre Fitout,Demolition works — Meridian Medical Centre Fitout — Aug 2025,"$5,437.09","$104,980.55"
09/15/2025,Bill,B-10189,DemoSafe Services,Murrin Bridge Repair,Demolition works — Murrin Bridge Repair — Sep 2025,"$8,412.92","$113,393.47"
09/21/2025,Bill,B-10174,DemoSafe Services,Meridian Medical Centre Fitout,Demolition works — Meridian Medical Centre Fitout — Sep 2025,"$4,459.64","$117,853.11"
09/28/2025,Bill,B-10181,DemoSafe Services,Ashgrove Apartment Refurbishment,Demolition works — Ashgrove Apartment Refurbishment — Sep 2025,"$6,716.31","$124,569.42"
11/05/2025,Bill,B-10248,DemoSafe Services,Meridian Medical Centre Fitout,Demolition works — Meridian Medical Centre Fitout — Nov 2025,"$7,697.45","$132,266.87"
