txn_type,txn_id,account,project,amount_minor,memo,true_cost_code
Bill,B-10004,Subcontractors,PRJ-001,1628000,Partitions and linings — Westhaven Warehouse Extension — Feb 2025,09-21-00
Bill,B-10006,Subcontractors,PRJ-001,1255040,Mechanical services — Westhaven Warehouse Extension — Feb 2025,23-00-00
Bill,B-10007,Plant Hire,PRJ-001,1398600,Earthworks and plant — Westhaven Warehouse Extension — Feb 2025,31-23-00
Bill,B-10003,Subcontractors,PRJ-001,923520,Carpentry package — Westhaven Warehouse Extension — Feb 2025,06-10-00
JournalEntry,PAY-20250214,Wages,PRJ-001,933197,Site payroll allocation — fortnight ending 2025-02-14,01-50-00
Bill,B-10001,Materials,PRJ-001,1642800,Concrete supply — Westhaven Warehouse Extension — Feb 2025,03-30-00
Bill,B-10005,Subcontractors,PRJ-001,959040,Painting package — Westhaven Warehouse Extension — Feb 2025,09-90-00
Bill,B-10002,Materials,PRJ-001,1443000,Structural steel — Westhaven Warehouse Extension — Feb 2025,05-12-00
JournalEntry,PAY-20250228,Wages,PRJ-001,549458,Site payroll allocation — fortnight ending 2025-02-28,01-50-00
Bill,B-10014,Demolition,PRJ-001,745920,Demolition works — Westhaven Warehouse Extension — Mar 2025,02-41-00
Bill,B-10015,Materials,PRJ-001,2664000,Concrete supply — Westhaven Warehouse Extension — Mar 2025,03-30-00
Bill,B-10020,Subcontractors,PRJ-001,1132200,Electrical services — Westhaven Warehouse Extension — Mar 2025,26-00-00
Bill,B-10017,Subcontractors,PRJ-001,1790800,Partitions and linings — Westhaven Warehouse Extension — Mar 2025,09-21-00
Bill,B-10018,Subcontractors,PRJ-001,1041920,Hydraulic services — Westhaven Warehouse Extension — Mar 2025,22-00-00
Bill,B-10013,Preliminaries,PRJ-001,1065600,Site Services — Westhaven Warehouse Extension — Mar 2025,01-50-00
Bill,B-10021,Plant Hire,PRJ-001,1118880,Earthworks and plant — Westhaven Warehouse Extension — Mar 2025,31-23-00
JournalEntry,PAY-20250314,Wages,PRJ-001,675730,Site payroll allocation — fortnight ending 2025-03-14,01-50-00
Bill,B-10019,Subcontractors,PRJ-001,1302400,Mechanical services — Westhaven Warehouse Extension — Mar 2025,23-00-00
JournalEntry,PAY-20250328,Wages,PRJ-001,626538,Site payroll allocation — fortnight ending 2025-03-28,01-50-00
Bill,B-10016,Subcontractors,PRJ-001,1373440,Carpentry package — Westhaven Warehouse Extension — Mar 2025,06-10-00
Bill,B-10037,Materials,PRJ-002,1323636,Structural steel — Meridian Medical Centre Fitout — Apr 2025,05-12-00
Bill,B-10041,Subcontractors,PRJ-002,943855,Electrical services — Meridian Medical Centre Fitout — Apr 2025,26-00-00
Bill,B-10029,Subcontractors,PRJ-001,1228400,Partitions and linings — Westhaven Warehouse Extension — Apr 2025,09-21-00
Bill,B-10030,Subcontractors,PRJ-001,701520,Painting package — Westhaven Warehouse Extension — Apr 2025,09-90-00
Bill,B-10028,Subcontractors,PRJ-001,864320,Carpentry package — Westhaven Warehouse Extension — Apr 2025,06-10-00
Bill,B-10033,Subcontractors,PRJ-001,1052280,Electrical services — Westhaven Warehouse Extension — Apr 2025,26-00-00
Bill,B-10036,Materials,PRJ-002,1282909,Concrete supply — Meridian Medical Centre Fitout — Apr 2025,03-30-00
Bill,B-10032,Subcontractors,PRJ-001,1219520,Mechanical services — Westhaven Warehouse Extension — Apr 2025,23-00-00
Bill,B-10035,Demolition,PRJ-002,586473,Demolition works — Meridian Medical Centre Fitout — Apr 2025,02-41-00
Bill,B-10039,Subcontractors,PRJ-002,635345,Painting package — Meridian Medical Centre Fitout — Apr 2025,09-90-00
Bill,B-10038,Subcontractors,PRJ-002,1001891,Carpentry package — Meridian Medical Centre Fitout — Apr 2025,06-10-00
JournalEntry,PAY-20250414,Wages,PRJ-001,744914,Site payroll allocation — fortnight ending 2025-04-14,01-50-00
JournalEntry,PAY-20250414,Wages,PRJ-002,1149141,Site payroll allocation — fortnight ending 2025-04-14,01-50-00
Bill,B-10034,Plant Hire,PRJ-001,985680,Earthworks and plant — Westhaven Warehouse Extension — Apr 2025,31-23-00
