tenant,platform,txn_type,txn_id,line_id,date,vendor,account,project,cost_code,tax_code,amount,currency,is_tax,is_void,memo
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10004,B-10004-L1,2025-02-04,Axis Interiors,Subcontractors,PRJ-001,09-21-00,,16280.00,AUD,0,0,Partitions and linings — Westhaven Warehouse Extension — Feb 2025
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10004,B-10004-L2,2025-02-04,Axis Interiors,GST Payable,,,GST,1628.00,AUD,1,0,GST on B-10004
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10006,B-10006-L1,2025-02-05,Climate Mechanical,Subcontractors,PRJ-001,23-00-00,,12550.40,AUD,0,0,Mechanical services — Westhaven Warehouse Extension — Feb 2025
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10006,B-10006-L2,2025-02-05,Climate Mechanical,GST Payable,,,GST,1255.04,AUD,1,0,GST on B-10006
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10011,B-10011-L1,2025-02-05,SecureSure Insurance,Insurance,,,,1291.43,AUD,0,0,Insurance premium — Feb 2025
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10011,B-10011-L2,2025-02-05,SecureSure Insurance,GST Payable,,,GST,129.14,AUD,1,0,GST on B-10011
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10007,B-10007-L1,2025-02-06,CivilWorks Earthmoving,Plant Hire,PRJ-001,31-23-00,,13986.00,AUD,0,0,Earthworks and plant — Westhaven Warehouse Extension — Feb 2025
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10007,B-10007-L2,2025-02-06,CivilWorks Earthmoving,GST Payable,,,GST,1398.60,AUD,1,0,GST on B-10007
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10003,B-10003-L1,2025-02-12,Precision Carpentry,Subcontractors,PRJ-001,06-10-00,,9235.20,AUD,0,0,Carpentry package — Westhaven Warehouse Extension — Feb 2025
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10003,B-10003-L2,2025-02-12,Precision Carpentry,GST Payable,,,GST,923.52,AUD,1,0,GST on B-10003
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10012,B-10012-L1,2025-02-14,FleetFuel Australia,Vehicle Expenses,,,,4861.44,AUD,0,0,Fleet fuel — Feb 2025
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10012,B-10012-L2,2025-02-14,FleetFuel Australia,GST Payable,,,GST,486.14,AUD,1,0,GST on B-10012
Summit Ridge Construction Pty Ltd,qbo,JournalEntry,PAY-20250214,PAY-20250214-L1,2025-02-14,Summit Ridge Payroll,Wages,PRJ-001,01-50-00,,9331.97,AUD,0,0,Site payroll allocation — fortnight ending 2025-02-14
Summit Ridge Construction Pty Ltd,qbo,JournalEntry,PAY-20250214,PAY-20250214-L2,2025-02-14,Summit Ridge Payroll,Wages,,,,11770.68,AUD,0,0,Head office payroll — fortnight ending 2025-02-14
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10010,B-10010-L1,2025-02-19,OfficeWorks,Office Overhead,,,,4664.13,AUD,0,0,Software and stationery — Feb 2025
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10010,B-10010-L2,2025-02-19,OfficeWorks,GST Payable,,,GST,466.41,AUD,1,0,GST on B-10010
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10001,B-10001-L1,2025-02-20,Boral Concrete,Materials,PRJ-001,03-30-00,,16428.00,AUD,0,0,Concrete supply — Westhaven Warehouse Extension — Feb 2025
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10001,B-10001-L2,2025-02-20,Boral Concrete,GST Payable,,,GST,1642.80,AUD,1,0,GST on B-10001
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10005,B-10005-L1,2025-02-20,PrimeCo Painting,Subcontractors,PRJ-001,09-90-00,,9590.40,AUD,0,0,Painting package — Westhaven Warehouse Extension — Feb 2025
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10005,B-10005-L2,2025-02-20,PrimeCo Painting,GST Payable,,,GST,959.04,AUD,1,0,GST on B-10005
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10002,B-10002-L1,2025-02-22,SteelFab Australia,Materials,PRJ-001,05-12-00,,14430.00,AUD,0,0,Structural steel — Westhaven Warehouse Extension — Feb 2025
Summit Ridge Construction Pty Ltd,qbo,Bill,B-10002,B-10002-L2,2025-02-22,SteelFab Australia,GST Payable,,,GST,1443.00,AUD,1,0,GST on B-10002
